"","tag_no_x","tag_colour","seaweed_id","rock_no","date_sampled","blade_length","notes","blade_side","blade_zone","blade_no","sp","colony_length_max","colony_area","no_h","no_m","no_long_m","tank","origin","tag_color","tag_no_y","rock_number","date","longest_blade","collected_from","biofouling_removed_14_5_25","no_blades","initial_tank","nutrient_treatment_tank","main_experiment_tank","turbulence","nutrient_treatment","swab_prior_enrichment","swab_after_ernichment_16_5"
"1","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","base",NA,"","",NA,"",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.8",0.502654825,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.1",0.007853982,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.1",0.007853982,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.2",0.031415927,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.1",0.007853982,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.8",0.502654825,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.6",0.282743339,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.4",0.125663706,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","0.6",0.282743339,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","1.2",1.130973355,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","middle",NA,"mm","1.5",1.767145868,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","tip",NA,"mm","0.2",0.031415927,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","tip",NA,"mm","0.1",0.007853982,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","tip",NA,"mm","0.4",0.125663706,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","tip",NA,"mm","0.5",0.196349541,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","tip",NA,"mm","0.2",0.031415927,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","13","blue","AB13",NA,"12/06/2025",NA,"not on datasheet","x","tip",NA,"mm","0.2",0.031415927,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
